x1,x2,y,split
0.0,0.0,1.0,test
0.0008793623663572982,0.01998065869356249,1.0,train
0.003514047862029727,0.0398453443657269,1.0,test
0.007893861545536951,0.059478457864170386,1.0,test
0.014001844718022084,0.07876514676233642,1.0,test
0.021814324139654256,0.09759167619387477,1.0,train
0.031300980754787634,0.11584579665999288,1.0,train
0.04242493774858835,0.13341710781241065,1.0,train
0.05514286770792273,0.15019741722461985,1.0,train
0.06940511860993137,0.16608109317662065,1.0,test
0.08515585831301455,0.18096541049320392,1.0,train
0.10233323717704082,0.19475088849314007,1.0,test
0.1208695683925826,0.20734162012628046,1.0,train
0.1406915255529877,0.218645591397524,1.0,test
0.16172035695823495,0.2285749902008115,1.0,train
0.1838721160958929,0.2370465037127071,1.0,train
0.20705790770222213,0.2439816035236633,1.0,test
0.2311841487656225,0.24930681771567045,1.0,train
0.2561528437953427,0.2529539891275857,1.0,train
0.2818618736407209,0.25486051908395363,1.0,test
0.3082052971103157,0.2549695958994759,1.0,train
0.33507366460619986,0.2532304075093905,1.0,train
0.362354342956508,0.24959833761577285,1.0,train
0.3899318505991382,0.2440351447810977,1.0,test
0.4176882022413723,0.23650912394317994,1.0,train
0.4455032620941839,0.2269952498697734,1.0,train
0.4732551047561978,0.2154753021165078,1.0,train
0.5008203828007172,0.20193797109841224,1.0,train
0.5280747001000041,0.18637894493287252,1.0,train
0.5548929899041218,0.16880097676039765,1.0,train
0.5811498966771786,0.14921393229891294,1.0,train
0.6067201606817927,0.12763481743732644,1.0,test
0.6314790042930356,0.1040877857247256,1.0,train
0.6553025190160771,0.078604125662614,1.0,train
0.6780680521772176,0.051222227758994265,1.0,train
0.6996545922560122,0.021987531354689883,1.0,test
0.7199431518267476,-0.009047548716013909,1.0,train
0.7388171470806415,-0.041823715516698126,1.0,test
0.7561627729057881,-0.0762749032869234,1.0,train
0.7718693725100677,-0.11232841039075674,1.0,train
0.7858298005829509,-0.14990505166857987,1.0,train
0.7979407790053439,-0.18891932987480406,1.0,train
0.8081032441323123,-0.22927962583455305,1.0,train
0.8162226846916534,-0.27088840690356186,1.0,train
0.8222094693618186,-0.3136424532676605,1.0,train
0.8259791631155831,-0.3574331015713024,1.0,train
0.8274528314410614,-0.4021465053188581,1.0,test
0.8265573315791228,-0.4476639114478628,1.0,train
0.8232255899459061,-0.4938619524302463,1.0,train
0.8173968649409078,-0.5406129532158616,1.0,train
0.8090169943749475,-0.587785252292473,1.0,train
0.79803862678812,-0.6352435360978747,1.0,train
0.7844214359655481,-0.6828491859830745,1.0,test
0.7681323179982698,-0.7304606368905892,1.0,train
0.7491455702778294,-0.7779337468789396,1.0,test
0.7274430518560171,-0.8251221765935056,1.0,train
0.7030143246455847,-0.8718777777550663,1.0,test
0.6758567749836077,-0.918050989710679,1.0,train
0.6459757151262979,-0.963491243067143,1.0,test
0.6133844642924375,-1.008047369405168,1.0,test
0.5781044089220587,-1.0515680160526362,1.0,train
0.5401650418674598,-1.0939020648779878,1.0,train
0.4996039802849418,-1.1348990540499375,1.0,train
0.4564669620477277,-1.1744096016973458,1.0,train
0.4108078205532285,-1.2122858303932726,1.0,train
0.36268843785099786,-1.248381791380026,1.0,train
